theme,have,price
,,35900
,,32588
1,0,44000
1,1,28000
1,1,32500
1,0,29999
1,0,16000
1,0,53500
1,1,28000
1,1,30000
1,1,33333
1,0,32500
1,0,30000
1,0,40000
1,1,28000
1,0,42000
1,0,26054
1,0,23500
1,1,32500
1,0,40000
1,0,36000
1,1,25252
1,1,28000
1,0,36524
1,0,23500
1,0,35000
1,0,40000
1,1,42500
1,0,28000
1,0,39000
1,1,32500
1,0,16000
2,1,8000
2,0,9000
2,0,9000
2,1,7500
2,1,12000
2,0,8500
2,0,9000
2,0,7800
2,0,8800
2,1,13000
2,0,15000
2,0,20000
2,1,7900
2,1,8600
2,1,7800
2,0,9900
2,0,9999
2,1,8689
2,1,8589
2,0,8591
2,0,9966
2,1,8654
2,0,13300
2,0,12340
2,1,12562
2,1,8585
2,0,8652
2,0,9987
2,1,8591
2,1,10000
